Timestamp,Age,Gender,Health issues,Family issues,Financial issues,Language barrier ,Relationship issues,Malpractice issue,Culture,Guidance,Attendance,Grudge
2-2-2024 23:53:42,More than 18,Male,3,3,3,0,0,0,3,5,4,4
2-2-2024 23:57:37,More than 18,Male,2,0,0,0,0,0,0,2,0,0
2-3-2024 0:01:02,More than 18,Male,4,0,0,2,1,0,2,2,2,1
2-3-2024 0:01:27,More than 18,Male,5,4,4,4,1,0,5,5,2,3
2-3-2024 0:03:27,More than 18,Male,3,4,3,0,3,0,0,2,5,4
2-3-2024 0:05:30,More than 18,Male,3,4,4,1,1,1,3,4,4,3
2-3-2024 0:07:50,More than 18,Male,1,0,1,3,0,1,0,5,3,4
2-3-2024 0:08:09,More than 18,Male,3,0,2,0,1,0,3,1,5,0
2-3-2024 0:09:30,More than 18,Male,4,4,4,4,4,4,4,4,4,4
2-3-2024 0:10:58,More than 18,Male,3,2,0,4,4,0,2,4,2,4
2-3-2024 0:15:02,More than 18,Male,0,0,0,0,0,0,0,0,0,0
2-3-2024 0:16:20,More than 18,Male,1,1,1,1,1,1,1,1,1,1
2-3-2024 0:16:24,More than 18,Male,4,0,5,4,5,4,2,5,2,3
2-3-2024 0:17:22,More than 18,Male,2,4,5,1,1,0,1,5,5,2
2-3-2024 0:20:33,More than 18,Female,0,0,0,0,2,1,0,2,0,0
2-3-2024 0:23:54,More than 18,Male,3,3,3,3,3,3,3,3,3,3
2-3-2024 0:24:27,More than 18,Male,5,0,0,1,3,1,2,2,2,2
2-3-2024 0:26:09,More than 18,Female,4,0,1,1,3,4,3,3,3,3
2-3-2024 0:28:57,More than 18,Male,2,0,0,1,0,0,2,3,3,2
2-3-2024 0:33:22,More than 18,Male,1,1,0,0,0,0,1,3,0,1
2-3-2024 0:35:33,Less than 18,Male,3,3,2,1,4,4,5,5,5,5
2-3-2024 0:35:50,More than 18,Male,2,2,3,2,3,2,3,4,2,3
2-3-2024 0:36:27,More than 18,Male,3,1,3,2,3,5,2,2,2,3
2-3-2024 0:44:22,More than 18,Male,2,0,0,2,0,0,1,2,3,1
2-3-2024 0:45:31,More than 18,Male,0,0,0,0,2,0,0,4,2,4
2-3-2024 1:10:49,More than 18,Male,4,4,4,4,3,5,4,4,4,4
2-3-2024 1:14:14,More than 18,Male,3,1,0,1,1,2,2,3,2,1
2-3-2024 1:49:34,More than 18,Male,3,3,3,2,3,2,3,3,3,3
2-3-2024 7:21:36,More than 18,Female,5,4,5,3,3,5,5,5,5,5
2-3-2024 7:21:40,More than 18,Male,0,0,0,0,0,0,1,0,0,0
2-3-2024 7:21:46,More than 18,Female,0,1,0,0,3,2,1,4,4,1
2-3-2024 7:23:19,More than 18,Female,1,0,1,0,0,0,0,0,0,0
2-3-2024 7:28:06,More than 18,Male,3,2,2,4,1,0,2,3,2,2
2-3-2024 7:29:20,More than 18,Male,0,0,1,0,0,0,1,1,5,0
2-3-2024 7:30:13,More than 18,Male,3,3,0,0,4,0,2,3,0,2
2-3-2024 7:31:41,More than 18,Male,2,1,4,1,0,0,2,2,3,2
2-3-2024 7:32:27,More than 18,Male,2,3,2,1,2,3,2,1,0,3
2-3-2024 8:08:48,More than 18,Male,1,0,0,0,0,1,0,0,0,0
2-3-2024 8:23:28,More than 18,Male,0,0,0,0,0,0,0,0,0,0
2-3-2024 8:25:29,More than 18,Female,5,5,5,5,5,5,5,5,5,5
2-3-2024 8:26:12,More than 18,Female,5,5,5,5,5,5,5,5,5,5
2-3-2024 9:11:56,More than 18,Female,1,2,0,0,0,0,2,4,3,0
2-3-2024 9:14:39,More than 18,Male,0,0,0,0,0,0,2,0,0,0
2-3-2024 9:19:03,More than 18,Male,4,3,1,0,0,0,2,2,4,0
2-3-2024 9:31:35,More than 18,Male,5,5,5,5,5,5,5,5,5,5
2-3-2024 9:34:16,Less than 18,Male,1,0,4,1,1,2,1,0,1,1
2-3-2024 9:38:44,More than 18,Female,3,3,0,0,0,0,0,1,1,0
2-3-2024 10:19:29,More than 18,Male,2,2,2,1,0,0,0,4,4,0
2-3-2024 10:22:19,More than 18,Male,1,0,0,0,0,0,0,0,1,0
2-3-2024 11:00:04,More than 18,Female,5,1,0,1,0,0,4,5,0,2
2-3-2024 13:27:07,More than 18,Male,3,1,0,1,0,0,2,4,3,2
2-3-2024 14:29:36,More than 18,Male,4,3,4,1,2,0,3,5,4,3
